VendorNumber,VendorName,TotalSalesDollars,TotalPurchaseDollars,TotalSalesQuantity,TotalPurchaseQuantity,TotalSalesPrice,TotalExciseTax,GrossProfit,PurchasePrice,ActualPrice,Volume,ProfitMargin,StockTurnover,SalestoPurchaseRatio,LogSales,ProfitMargin_Capped,StockTurnover_Capped
3924,HEAVEN HILL DISTILLERIES,3818152.3099998883,2816661.939999991,342609.0,352348.0,2066759.1599999897,349973.76999997813,1001490.3699998974,14.160806451612904,19.252903225806453,945.5645161290323,26.229712402434956,0.972359712556904,1.3555593079089572,15.155277436992797,26.229712402434956,0.972359712556904
3950,"HOOD RIVER DISTILLERS, Inc.",29380.799999999956,24035.96,1270.0,1137.0,15811.21999999991,1000.6300000000014,5344.8399999999565,18.81,25.656666666666666,750.0,18.191608125033916,1.1169744942832014,1.2223684845539748,10.288130714018633,18.191608125033916,1.1169744942832014
3951,HIGHLAND WINE MERCHANTS LLC,1533.68,5500.32,82.0,372.0,559.27,9.190000000000001,-3966.64,15.010909090909092,22.49,715.9090909090909,-258.6354389442387,0.22043010752688172,0.2788346859819065,7.336077169233229,-258.6354389442387,0.22043010752688172
3960,DIAGEO NORTH AMERICA INC,68739834.96999826,50959796.84999999,5422335.0,5459788.0,25918044.18999894,3798483.3499999614,17780038.11999826,39.410353535353536,52.86146464646465,812.310606060606,25.865698001396748,0.9931402098396495,1.348903237827532,18.04583944314509,25.865698001396748,0.9931402098396495
4380,CHARLES JACQUIN ET CIE INC,450266.1600000067,329637.6199999999,43474.0,43947.0,297389.43000000087,34505.57999999929,120628.54000000685,8.201428571428572,11.19,825.0,26.790496536538534,0.9892370355200583,1.3659428799419402,13.017596374471879,26.790496536538534,0.9892370355200583
4425,MARTIGNETTI COMPANIES,40960117.81999984,27861690.019999936,2578596.0,2640411.0,16029789.769999783,755960.7100000086,13098427.799999904,23.96479106628242,36.37595821325649,785.5648414985591,31.978491511087054,0.9765888719597062,1.4701232333931453,17.528109439570223,31.978491511087054,0.9765888719597062
4466,AMERICAN VINTAGE BEVERAGE,190134.6300000004,156357.27999999895,14637.0,15778.0,122794.47000000074,26902.490000000933,33777.350000001454,9.983333333333333,13.656666666666666,1750.0,17.76496475155598,0.9276841171251109,1.2160267177837942,12.1554929385838,17.76496475155598,0.9276841171251109
4550,KLIN SPIRITS LLC,147675.94000000585,103484.28999999916,6606.0,6840.0,106715.850000002,6073.159999999918,44191.650000006695,14.1425,19.74,1000.0,29.92474603513947,0.9657894736842105,1.427037282663939,11.90278232904534,29.92474603513947,0.9657894736842105
4692,KOBRAND CORPORATION,2829620.2000000216,1808146.3300000005,161687.0,161002.0,1415674.380000002,24292.049999999992,1021473.8700000213,28.025454545454547,42.64668449197861,785.427807486631,36.09932774723666,1.0042546055328505,1.564928763260007,14.855653409070399,36.09932774723666,1.0042546055328505
4848,LAIRD & CO,213108.09000000003,203011.58000000022,20141.0,21422.0,108256.39000000054,7770.519999999962,10096.509999999804,14.370000000000001,19.74,777.3125,4.737741303016606,0.9402016618429652,1.0497336654391822,12.269559473206998,4.737741303016606,0.9402016618429652
4950,LATITUDE BEVERAGE COMPANY,471483.1500000048,316446.7600000002,49785.0,53090.0,200992.53000000428,5545.800000000105,155036.39000000464,8.362619047619049,12.656666666666668,763.3333333333334,32.882700049832756,0.9377472216990017,1.4899288272062086,13.063640764371856,32.882700049832756,0.9377472216990017
5083,LOYAL DOG WINERY,1111.2600000000004,2320.7999999999997,74.0,240.0,901.4000000000004,8.180000000000003,-1209.5399999999993,9.67,14.99,750.0,-108.84401490200301,0.30833333333333335,0.4788262668045504,7.01414926043018,-108.84401490200301,0.30833333333333335
5270,MANGO BOTTLING INC,242291.50999999876,204510.38000000053,26649.0,28414.0,115891.5700000076,10469.689999999953,37781.12999999825,7.217499999999999,9.99,375.0,15.593253762791129,0.9378827338635883,1.1847394249621859,12.397900994234377,15.593253762791129,0.9378827338635883
5455,MARSALLE COMPANY,215253.60000000172,185311.1900000001,6640.0,7158.0,168905.86000000007,5019.399999999953,29942.410000001626,23.38,32.99,750.0,13.910294647802122,0.9276334171556301,1.1615790713987733,12.279576792561059,13.910294647802122,0.9276334171556301
5612,MILTONS DISTRIBUTING CO,2355.12,1824.18,228.0,267.0,194.91,27.0,530.9399999999999,6.921111111111111,10.384444444444444,791.6666666666666,22.544074187302556,0.8539325842696629,1.2910568036049073,7.764771477260474,22.544074187302556,0.8539325842696629
5992,MCCORMICK DISTILLING CO,385182.1600000022,310552.87000000087,28954.0,29788.0,250414.46999999715,24829.2999999998,74629.29000000132,9.415384615384616,12.505384615384616,913.4615384615385,19.37506399569515,0.972002148516181,1.2403110620101534,12.861474240401149,19.37506399569515,0.972002148516181
6213,MHW LTD,2586109.870000009,1888333.0099999937,212313.0,215201.0,1628395.420000009,99400.36000000125,697776.860000015,16.828068181818182,22.8025,765.625,26.98171752463141,0.9865799880112082,1.3695200244368009,14.765665710558102,26.98171752463141,0.9865799880112082
6215,MOONLIGHT MEADERY,95208.76999999967,71357.58999999994,7123.0,7967.0,75996.09999999922,417.02000000000436,23851.179999999727,9.172857142857142,13.81857142857143,375.0,25.051452718063484,0.8940630099159032,1.3342486762795627,11.46383784156418,25.051452718063484,0.8940630099159032
6280,UNCORKED,1091.39,2966.31,61.0,243.0,667.14,6.7700000000000005,-1874.92,13.651666666666666,20.406666666666666,750.0,-171.79193505529645,0.25102880658436216,0.3679285037639357,6.996123235401663,-171.79193505529645,0.25102880658436216
6355,NICHE W & S,114938.95999999883,111031.76999999989,10404.0,9277.0,84406.12999999877,3677.6699999999514,3907.1899999989455,17.0625,22.74,531.25,3.399360843354582,1.1214832381157702,1.0351898380076165,11.652165184054006,3.399360843354582,1.1214832381157702
6359,OLE SMOKY DISTILLERY LLC,498602.64000000485,387622.6900000004,106886.0,110162.0,246949.15999999808,18226.969999999827,110979.95000000439,11.48294117647059,15.813529411764705,626.4705882352941,22.25819542391579,0.9702619778144914,1.2863092199272554,13.119566750486191,22.25819542391579,0.9702619778144914
6785,PALM BAY INTERNATIONAL INC,4019949.1399999363,2693984.3299999973,372880.0,375697.0,1702461.160000008,68351.61000000064,1325964.8099999393,13.030138888888889,19.684444444444445,828.9722222222222,32.98461656656582,0.9925019364008763,1.492194700330696,15.206780057533196,32.98461656656582,0.9925019364008763
6830,PARK STREET IMPORTS LLC,77288.67000000052,69459.4199999999,3483.0,4349.0,51225.51000000007,2321.45999999999,7829.250000000626,18.732499999999998,26.24,703.125,10.129880615102541,0.8008737640836974,1.1127168928275046,11.255315590457961,10.129880615102541,0.8008737640836974
7153,PINE STATE TRADING CO,4640927.410000025,3129071.590000003,416526.0,424427.0,2510700.4000000255,93282.72999999976,1511855.8200000222,19.324620853080567,28.840710900473937,762.3815165876778,32.57658839356882,0.9813843134390602,1.483164343325242,15.350424992549506,32.57658839356882,0.9813843134390602
7154,PREMIER DISTRIBUTORS,109091.34,84530.87000000016,5566.0,5916.0,64600.020000001525,3438.739999999957,24560.469999999834,10.424285714285714,14.632857142857143,750.0,22.513675237649327,0.9408384043272482,1.2905503042852842,11.599949958540503,22.513675237649327,0.9408384043272482
7239,REMY COINTREAU USA INC,4294875.049999812,3354958.279999989,135195.0,142363.0,2288762.7499999385,114003.51000000206,939916.7699998226,83.33795454545455,110.865,872.1590909090909,21.88461268506202,0.9496498387923828,1.2801575136129042,15.272933253845483,21.88461268506202,0.9496498387923828
7240,"PREMIUM PORT WINES, INC.",86057.76000000013,59760.74000000021,8024.0,8167.0,54686.55000000166,889.5400000000448,26297.01999999991,7.744999999999999,11.49,750.0,30.557407025234994,0.9824905105914045,1.4400383930988776,11.362785597736615,30.557407025234994,0.9824905105914045
7245,PROXIMO SPIRITS INC.,10515302.569999374,7588029.899999956,667583.0,682042.0,5375526.859999858,673765.3999999687,2927272.6699994197,16.027169811320757,22.3711320754717,856.3679245283018,27.838216261613418,0.9788004257802305,1.3857750573702188,16.16834223688759,27.838216261613418,0.9788004257802305
7255,PSP WINES,171480.67999999967,128895.69000000006,14582.0,16493.0,95551.17999999925,1623.8600000000151,42584.98999999962,8.382333333333333,12.906666666666666,775.0,24.833695551008837,0.8841326623415995,1.330383351064722,12.052231717724803,24.833695551008837,0.8841326623415995
7749,R.P.IMPORTS INC,50845.59999999999,18776.87,940.0,498.0,22072.83,104.86000000000001,32068.72999999999,40.07125,60.8275,750.0,63.070806520131526,1.8875502008032128,2.707884753955265,10.836568535917754,63.070806520131526,1.8875502008032128
8004,SAZERAC CO INC,13250579.95999934,9916770.259999953,1385019.0,1417727.0,6061731.829999897,1116632.5299999514,3333809.6999993883,17.251007194244604,23.2036690647482,882.7338129496403,25.159726669047277,0.9769292677645273,1.336178978900677,16.399551955472983,25.159726669047277,0.9769292677645273
8112,MOET HENNESSY USA INC,13545179.219999589,9472995.200000007,424235.0,427867.0,5748025.999999859,191762.3000000036,4072184.019999582,142.7858620689655,194.6115517241379,753.7586206896551,30.063714579626694,0.9915113808730283,1.4298729107346724,16.421541338691487,30.063714579626694,0.9915113808730283
8150,SEA HAGG DISTILLERY LLC,213002.55000000395,188044.46,13145.0,15412.0,119225.44999999914,10401.039999999828,24958.09000000396,15.25,19.91857142857143,707.1428571428571,11.717272868331152,0.852906825849987,1.1327244099613674,12.26906411121936,11.717272868331152,0.852906825849987
8320,SHAW ROSS INT L IMP LTD,856945.6400000016,624979.6399999966,68146.0,69127.0,443710.45000001905,52352.269999999415,231966.00000000498,10.781714285714287,15.155714285714287,1239.4285714285713,27.068928199460178,0.985808728861371,1.3711576908329466,13.661130931930835,27.068928199460178,0.985808728861371
8352,LUXCO INC,2826287.7699999996,2051436.010000004,286953.0,283260.0,1758896.3400000175,249501.70999999536,774851.7599999957,13.17090909090909,17.99,901.1363636363636,27.415883415155417,1.0130374920567677,1.3777118838817664,14.8544750203042,27.415883415155417,1.0130374920567677
8663,STAR INDUSTRIES INC.,7870.759999999965,2452.29,424.0,151.0,4544.559999999971,336.73999999999995,5418.469999999966,12.14,17.49,875.0,68.84303421778824,2.80794701986755,3.209555150491975,8.971036950462445,68.84303421778824,2.80794701986755
8664,"STOLI GROUP,(USA) LLC",4663394.809999665,3666478.720000019,271989.0,314035.0,2131523.189999893,288002.00999997725,996916.0899996465,62.37488888888889,79.7011111111111,742.7777777777778,21.37747565061338,0.8661104653939847,1.271900143470529,15.35525445531047,21.37747565061338,0.8661104653939847
8673,STE MICHELLE WINE ESTATES,4899404.500000021,3086650.6999999993,418564.0,419822.0,2050379.0399999805,46756.4399999997,1812753.8000000226,13.202086330935252,20.59748201438849,756.7410071942446,36.999472078698844,0.9970034919561147,1.5872882862968662,15.404624429189589,36.999472078698844,0.9970034919561147
8735,SURVILLE ENTERPRISES CORP,80444.84999999947,51325.770000000004,6515.0,6504.0,50871.93999999951,1400.5200000000032,29119.079999999467,8.546190476190477,13.847142857142858,723.1904761904761,36.19756889347131,1.0016912669126692,1.5673383955077431,11.295339566254677,36.19756889347131,1.0016912669126692
8892,TRINCHERO FAMILY ESTATES,3467259.9499999927,2252211.3099999926,346711.0,352526.0,1508661.8400000455,44029.83999999951,1215048.6400000001,7.483776223776224,11.666923076923077,832.1258741258741,35.04348267859186,0.9835047627692709,1.5394914032289466,15.058875488636025,35.04348267859186,0.9835047627692709
8920,TAKARA SAKE USA INC,64082.970000002046,45289.34000000031,8973.0,9066.0,26628.03000000141,5327.699999999941,18793.630000001736,21.560000000000002,32.02333333333333,6350.0,29.327027133731686,0.9897418927862343,1.414968069748899,11.067949533630955,29.327027133731686,0.9897418927862343
9099,TRUETT HURST,14.99,236.64,1.0,24.0,14.99,0.11,-221.64999999999998,9.86,14.99,750.0,-1478.6524349566375,0.041666666666666664,0.0633451656524679,2.771963526845863,-258.6354389442387,0.22043010752688172
9165,ULTRA BEVERAGE COMPANY LLP,17802646.099999737,13210613.929999981,1042270.0,1077527.0,9781946.340000002,310024.5800000017,4592032.169999757,32.460776583034644,46.74816009557945,760.1015531660693,25.794099058116,0.9672797062161783,1.347601723457508,16.69485771768869,25.794099058116,0.9672797062161783
9206,PHILLIPS PRODUCTS CO.,599428.95,430945.8899999974,43605.0,40054.0,379917.36000001326,50721.93999999891,168483.06000000262,15.427391304347825,20.707391304347826,786.9565217391304,28.107261085738788,1.0886553153243121,1.3909610554587342,13.30373439924971,28.107261085738788,1.0886553153243121
9260,TY KU LLC,44141.59999999997,38921.470000000016,2490.0,3003.0,34028.64999999983,778.9299999999987,5220.129999999953,12.33,17.49,470.0,11.825874005473198,0.8291708291708292,1.1341195489276215,10.695180581564884,11.825874005473198,0.8291708291708292
9552,M S WALKER INC,15436066.259999862,10935817.29999999,1342230.0,1372841.0,7148294.210000141,943092.3099999783,4500248.959999872,17.896414868105516,27.079568345323743,791.5,29.154117922268576,0.9777024433273773,1.4115146437203077,16.552217358976606,29.154117922268576,0.9777024433273773
9622,WEIN BAUER INC,56930.229999999974,43517.00000000005,2867.0,3014.0,35629.94000000087,2155.639999999965,13413.229999999923,8.878333333333332,12.79,833.3333333333334,23.56082172863157,0.9512276045122761,1.3082296573752765,10.949599327192146,23.56082172863157,0.9512276045122761
9625,WESTERN SPIRITS BEVERAGE CO,443070.20000000007,361249.20999999926,49330.0,56860.0,337085.89999999775,18657.55999999977,81820.99000000078,13.371764705882352,18.695882352941176,667.6470588235294,18.466823090336646,0.867569468870911,1.2264945852753588,13.00148575846045,18.466823090336646,0.867569468870911
9744,FREDERICK WILDMAN & SONS,1127940.960000006,759449.2400000006,68928.0,70932.0,629115.2300000009,14218.180000000142,368491.72000000556,24.512338709677422,37.2641935483871,804.9354838709677,32.66941560487382,0.9717475892403993,1.4852091497254052,13.93590525581564,32.66941560487382,0.9717475892403993
9751,VINEDREA WINES LLC,11385.599999999944,4657.599999999999,440.0,205.0,8196.859999999948,346.9600000000002,6727.9999999999445,22.72,29.99,750.0,59.09218662169739,2.1463414634146343,2.4445207832359896,9.340192504416315,59.09218662169739,2.1463414634146343
9815,WINE GROUP INC,8340493.379999857,5258636.790000015,868988.0,888385.0,3836459.69000018,268181.69999999733,3081856.589999843,6.041194029850746,9.644228855721392,1566.8507462686566,36.950530976860456,0.9781659978500312,1.5860561801606825,15.93663305075549,36.950530976860456,0.9781659978500312
9819,TREASURY WINE ESTATES,4740030.520000028,2978686.3999999953,495294.0,497770.0,1994444.4299999839,75024.35999999888,1761344.1200000327,10.568627450980392,16.455686274509805,862.1274509803922,37.15891939024946,0.9950258151355044,1.5913157289736966,15.371554343438184,37.15891939024946,0.9950258151355044
10000,MAJESTIC FINE WINES,5375429.089999839,3506668.6299999817,433515.0,446119.0,1319458.9000000195,47740.170000001504,1868760.4599998568,13.33421052631579,20.516315789473683,769.7368421052631,34.764861161993544,0.971747448550723,1.5329161826162818,15.497349145520987,34.764861161993544,0.971747448550723
10050,Russian Standard Vodka,139135.54999999955,138907.27000000005,15195.0,12798.0,91611.72000000185,6144.419999999948,228.2799999994882,14.847777777777777,20.10111111111111,783.3333333333334,0.16407021785552933,1.1872948898265354,1.0016433985060647,11.843211103999892,0.16407021785552933,1.1872948898265354
10754,PERFECTA WINES,7779747.030000005,5665501.530000006,511663.0,553116.0,3996047.45000001,69901.34000000013,2114245.4999999995,32.184150702426564,51.48215836526181,770.3575989782886,27.176275678979223,0.9250555037279703,1.3731788772458415,15.867034508740648,27.176275678979223,0.9250555037279703
11567,CAMPARI AMERICA,5604628.169999779,4141720.709999965,490283.0,501284.0,3233087.559999971,305689.6699999891,1462907.4599998137,17.021875,23.1775,786.328125,26.101775454621663,0.9780543564127321,1.3532124839967363,15.539103451728732,26.101775454621663,0.9780543564127321
12331,STELLAR IMPORTING CO LLC,35480.629999999794,24560.08000000001,2987.0,3104.0,16238.529999999842,383.78000000000026,10920.549999999783,9.583888888888888,14.128888888888888,777.7777777777778,30.778906687958603,0.9623067010309279,1.4446463529434668,10.47677037674366,30.778906687958603,0.9623067010309279
12546,JIM BEAM BRANDS COMPANY,31898621.1599986,24203151.05000004,2629964.0,2737165.0,16567359.029999692,2248894.4599999776,7695470.109998555,31.163705722070844,42.33087193460491,870.0953678474115,24.12477351732307,0.9608350245600832,1.3179532323746144,17.27807337434572,24.12477351732307,0.9608350245600832
17031,FLAG HILL WINERY & VINEYARD,411807.1200000021,300403.19999999995,20788.0,20608.0,309521.940000002,8450.629999999952,111403.92000000214,15.604210526315791,21.09526315789474,631.578947368421,27.052451157231467,1.0087344720496894,1.3708479803144646,12.928312791691287,27.052451157231467,1.0087344720496894
17032,JEWELL TOWNE VINEYARDS,85230.81999999948,54332.369999999995,6318.0,6630.0,62163.18999999925,698.970000000001,30898.449999999488,8.384285714285713,12.704285714285716,750.0,36.252672448768735,0.9529411764705882,1.5686932117998809,11.353130117271684,36.252672448768735,0.9529411764705882
